name,class,navy,normal displacement,shaft horsepower,speed,year,power to weight
ARA_Moreno,Rivadavia-class_battleship,Argentina,31384.4991606911,40000,22,1911,1.27451452372067
ARA_Rivadavia,Rivadavia-class_battleship,Argentina,31384.4991606911,40000,22,1911,1.27451452372067
SMS_Árpád,Habsburg-class_battleship,Austria-Hungary,8887.968,12876.3,19,1901,1.4487338388257
SMS_Zrínyi,Radetzky-class_battleship,Austria-Hungary,14732,20000,20,1910,1.3575889220744
SMS_Babenberg,Habsburg-class_battleship,Austria-Hungary,8964.168,14400,19,1902,1.60639559633421
SMS_Erzherzog_Ferdinand_Max,Erzherzog Karl-class_battleship,Austria-Hungary,10639.552,17100,20,1905,1.60721052916514
SMS_Erzherzog_Franz_Ferdinand,Radetzky-class_battleship,Austria-Hungary,14740.128,18810,20,1908,1.27610832144741
SMS_Erzherzog_Friedrich,Erzherzog Karl-class_battleship,Austria-Hungary,10639.552,16200,20,1904,1.52262050131434
SMS_Erzherzog_Karl,Erzherzog Karl-class_battleship,Austria-Hungary,10639.552,16200,20,1903,1.52262050131434
SMS_Habsburg,Habsburg-class_battleship,Austria-Hungary,8964.168,13556.7,19,1900,1.51232105422388
SMS_Prinz_Eugen_(1912),Tegetthoff-class_battleship,Austria-Hungary,21689,26400,20,1912,1.21720687906312
SMS_Radetzky,Radetzky-class_battleship,Austria-Hungary,14732,19800,20,1909,1.34401303285365
SMS_Szent_István,Tegetthoff-class_battleship,Austria-Hungary,22474.6263137834,26000,20,1914,1.15686016919687
SMS_Tegetthoff_(1912),Tegetthoff-class_battleship,Austria-Hungary,21689,26400,20,1912,1.21720687906312
SMS_Viribus_Unitis,Tegetthoff-class_battleship,Austria-Hungary,20000,27000,20,1911,1.35
Brazilian_battleship_Minas_Geraes,Minas Geraes-class_battleship,Brazil,19281,23500,21,1908,1.21881645142887
Brazilian_battleship_São_Paulo,Minas Geraes-class_battleship,Brazil,21460.3026651755,26125,21.5,1909,1.21736400495386
Chilean_battleship_Almirante_Latorre,Almirante Latorre-class_battleship,Chile,29057.6,37000,22,1913,1.27333296624635
Japanese_battleship_Aki,Satsuma-class_battleship,Empire of Japan,20421.6,24000,20,1907,1.17522623104948
Japanese_battleship_Asahi,Japanese_battleship_Asahi,Empire of Japan,15443.2,13500,18,1899,0.874171156237049
Japanese_battleship_Fuji,Fuji-class_battleship,Empire of Japan,12425.68,12150,18,1896,0.977813689069733
Japanese_battleship_Fusō,Fusō-class_battleship,Empire of Japan,33472.9949230208,40000,23,1914,1.19499316066548
Japanese_battleship_Hatsuse,Shikishima-class_battleship,Empire of Japan,14540.992,13050,18,1899,0.897462841599803
Japanese_battleship_Hyūga,Ise-class_battleship,Empire of Japan,34214.810357728,45000,23,1917,1.31521991586418
Japanese_battleship_Ise,Ise-class_battleship,Empire of Japan,34214.810357728,45000,23,1916,1.31521991586418
Japanese_battleship_Kashima,Katori-class_battleship,Empire of Japan,16645.128,15010,18,1905,0.901765369422212
Japanese_battleship_Katori,Katori-class_battleship,Empire of Japan,16205.2,16000,18,1905,0.987337397872288
Japanese_battleship_Kawachi,Kawachi-class_battleship,Empire of Japan,22182.328,25000,21,1910,1.12702327726828
Japanese_battleship_Mikasa,Japanese_battleship_Mikasa,Empire of Japan,15382.24,13500,18,1900,0.877635506922269
Japanese_battleship_Musashi,Yamato-class_battleship,Empire of Japan,71899.0344408561,150000,27.5,1940,2.08625889299514
Japanese_battleship_Mutsu,Nagato-class_battleship,Empire of Japan,36753.7871344959,80000,26,1920,2.17664644209997
Japanese_battleship_Nagato,Nagato-class_battleship,Empire of Japan,36753.7871344959,80000,26,1919,2.17664644209997
Japanese_battleship_Satsuma,Satsuma-class_battleship,Empire of Japan,19681.952,16435,18,1906,0.835028964606763
Japanese_battleship_Settsu,Kawachi-class_battleship,Empire of Japan,21786.088,25000,21,1911,1.14752129891333
Japanese_battleship_Shikishima,Shikishima-class_battleship,Empire of Japan,15087.6,13050,18,1898,0.864948699594369
Japanese_battleship_Yamashiro,Fusō-class_battleship,Empire of Japan,33468.429904961,40000,22,1915,1.19515615502688
Japanese_battleship_Yamato,Yamato-class_battleship,Empire of Japan,65027,150000,27,1940,2.30673412582466
Japanese_battleship_Yashima,Fuji-class_battleship,Empire of Japan,12425.68,12150,18,1896,0.977813689069733
French_battleship_Bouvet,French_battleship_Bouvet,France,12200,14000,18,1896,1.14754098360656
French_battleship_Brennus,French_battleship_Brennus,France,10676.6419253914,12500,17,1891,1.17078010926565
French_battleship_Bretagne,Bretagne-class_battleship,France,23936,28000,20,1913,1.16978609625668
French_battleship_Carnot,French_battleship_Carnot,France,11954,14670,17,1894,1.22720428308516
French_battleship_Charlemagne,Charlemagne-class_battleship,France,11415,14200,18,1895,1.24397722295226
French_battleship_Charles_Martel,French_battleship_Charles_Martel,France,11839,13070,18,1893,1.10397837655207
French_battleship_Condorcet,Danton-class_battleship,France,18754,22500,19,1909,1.19974405460168
French_battleship_Courbet,Courbet-class_battleship,France,23475,28000,21,1911,1.19275825346113
French_battleship_Danton,Danton-class_battleship,France,18754,22500,19,1909,1.19974405460168
French_battleship_Démocratie,Liberté-class_battleship,France,13991.3777210495,15570,18,1904,1.11282822252562
French_battleship_Diderot,Danton-class_battleship,France,18754,22500,19,1909,1.19974405460168
French_battleship_Dunkerque,Dunkerque-class_battleship,France,29766.9730765324,135585,29,1935,4.55488032496297
French_battleship_France,Courbet-class_battleship,France,23475,28000,21,1912,1.19275825346113
French_battleship_Gaulois,Charlemagne-class_battleship,France,11260,14200,17,1896,1.26110124333925
French_battleship_Iéna,French_battleship_Iéna,France,11688,16500,18,1898,1.41170431211499
French_battleship_Jauréguiberry,French_battleship_Jauréguiberry,France,11818,12996.9,17,1893,1.09975461160941
French_battleship_Jean_Bart,Courbet-class_battleship,France,23475,28000,21,1911,1.19275825346113
French_battleship_Jean_Bart,Richelieu-class_battleship,France,42511.7306812998,155000,32,1940,3.64605245460359
French_battleship_Justice,Liberté-class_battleship,France,13991.3777210495,15570,18,1904,1.11282822252562
French_battleship_Liberté,Liberté-class_battleship,France,13991.3777210495,16435,18,1905,1.17465201266593
French_battleship_Lorraine,Bretagne-class_battleship,France,23230,29000,20,1913,1.24838570813603
French_battleship_Masséna,French_battleship_Masséna,France,11735,14200,17,1895,1.21005538985939
French_battleship_Mirabeau,Danton-class_battleship,France,18754,22500,19,1909,1.19974405460168
French_battleship_Paris,Courbet-class_battleship,France,23475,28000,21,1912,1.19275825346113
French_battleship_Patrie,République-class_battleship,France,14870,17260,18,1903,1.16072629455279
French_battleship_Provence,Bretagne-class_battleship,France,23936,28000,20,1913,1.16978609625668
French_battleship_Richelieu,Richelieu-class_battleship,France,42511.7306812998,155000,32,1939,3.64605245460359
French_battleship_Saint_Louis,Charlemagne-class_battleship,France,10587.4351546868,14500,18,1896,1.36954793943472
French_battleship_Strasbourg,French_battleship_Strasbourg,France,31612.750063678,112500,29,1936,3.55869071097547
French_battleship_Suffren,French_battleship_Suffren,France,12432,14580,17,1899,1.17277992277992
French_battleship_Vergniaud,Danton-class_battleship,France,18754,22500,19,1910,1.19974405460168
French_battleship_Vérité,Liberté-class_battleship,France,13991.3777210495,16435,18,1907,1.17465201266593
French_battleship_Voltaire,Danton-class_battleship,France,18754,22500,19,1909,1.19974405460168
