name,class,navy,normal displacement,shaft horsepower,speed,year,power to weight
SMS_Árpád,Habsburg-class_battleship,Austria-Hungary,8887.968,12876.300000000001,19,1901,1.4487338388257023
HMS_Africa_(1905),King Edward VII-class_battleship,United Kingdom,15834.36,16200,18,1904,1.0230915553265176
HMS_Agamemnon_(1906),Lord Nelson-class_battleship,United Kingdom,16764,15912.5,18,1906,0.9492066332617514
HMS_Agincourt_(1913),HMS_Agincourt_(1913),United Kingdom,28508.129308293443,34000,22,1913,1.1926422681866007
HMS_Ajax_(1912),King George V-class_battleship,United Kingdom,25826.72,27000,21,1912,1.0454289201261329
Japanese_battleship_Aki,Satsuma-class_battleship,Empire of Japan,20421.6,24000,20,1907,1.1752262310494772
USS_Alabama_(BB-8),Illinois-class_battleship,United States,11750.04,9000,16,1898,0.7659548393026746
USS_Alabama_(BB-60),South Dakota-class_battleship (1939),United States,46610.48914258532,130000,27,1942,2.789071781725339
HMS_Albemarle_(1901),Duncan-class_battleship,United Kingdom,13482.32,16200,19,1901,1.2015736164102322
HMS_Albion_(1898),Canopus-class_battleship,United Kingdom,13210.183056014135,12150,18,1898,0.9197450140154212
Spanish_battleship_Alfonso_XIII,España-class_battleship,Spain,15700,15500,19,1913,0.9872611464968153
Chilean_battleship_Almirante_Latorre,Almirante Latorre-class_battleship,Chile,29057.6,37000,22,1913,1.2733329662463522
Italian_battleship_Ammiraglio_di_Saint_Bon,Ammiraglio di Saint Bon-class_battleship,Kingdom of Italy,10243.312,12866.4,18,1897,1.2560781122355738
Italian_battleship_Andrea_Doria,Andrea Doria-class_battleship,Kingdom of Italy,23237.542404725602,30000,21,1913,1.29101431973715
Russian_battleship_Andrei_Pervozvanny,Andrei Pervozvanny-class_battleship,Russian Empire,17597.12,16720,18,1906,0.9501554799876344
HMS_Anson_(79),King George V-class_battleship (1939),United Kingdom,43281.6,110300,29,1940,2.548427045210898
USS_Arizona_(BB-39),Pennsylvania-class_battleship,United States,35793.22208110358,33376,21,1915,0.932467044301672
USS_Arkansas_(BB-33),Wyoming-class_battleship,United States,26416,28000,20,1911,1.0599636583888552
