name,class,navy,normal displacement,shaft horsepower,speed,year,power to weight,type
SMS_Árpád,Habsburg-class_battleship,Austria-Hungary,8887.968,12876.300000000001,19,1901,1.4487338388257023,BB
HMS_Africa_(1905),King Edward VII-class_battleship,United Kingdom,15834.36,16200,18,1904,1.0230915553265176,BB
HMS_Agamemnon_(1906),Lord Nelson-class_battleship,United Kingdom,16764,15912.5,18,1906,0.9492066332617514,BB
HMS_Agincourt_(1913),HMS_Agincourt_(1913),United Kingdom,28508.129308293443,34000,22,1913,1.1926422681866007,BB
HMS_Ajax_(1912),King George V-class_battleship,United Kingdom,25826.72,27000,21,1912,1.0454289201261329,BB
Japanese_battleship_Aki,Satsuma-class_battleship,Empire of Japan,20421.6,24000,20,1907,1.1752262310494772,BB
USS_Alabama_(BB-8),Illinois-class_battleship,United States,11750.04,9000,16,1898,0.7659548393026746,BB
USS_Alabama_(BB-60),South Dakota-class_battleship (1939),United States,46610.48914258532,130000,27,1942,2.789071781725339,BB
HMS_Albemarle_(1901),Duncan-class_battleship,United Kingdom,13482.32,16200,19,1901,1.2015736164102322,BB
HMS_Albion_(1898),Canopus-class_battleship,United Kingdom,13210.183056014135,12150,18,1898,0.9197450140154212,BB
Spanish_battleship_Alfonso_XIII,España-class_battleship,Spain,15700,15500,19,1913,0.9872611464968153,BB
Chilean_battleship_Almirante_Latorre,Almirante Latorre-class_battleship,Chile,29057.6,37000,22,1913,1.2733329662463522,BB
Italian_battleship_Ammiraglio_di_Saint_Bon,Ammiraglio di Saint Bon-class_battleship,Kingdom of Italy,10243.312,12866.4,18,1897,1.2560781122355738,BB
Italian_battleship_Andrea_Doria,Andrea Doria-class_battleship,Kingdom of Italy,23237.542404725602,30000,21,1913,1.29101431973715,BB
Russian_battleship_Andrei_Pervozvanny,Andrei Pervozvanny-class_battleship,Russian Empire,17597.12,16720,18,1906,0.9501554799876344,BB
HMS_Anson_(79),King George V-class_battleship (1939),United Kingdom,43281.6,110300,29,1940,2.548427045210898,BB
USS_Arizona_(BB-39),Pennsylvania-class_battleship,United States,35793.22208110358,33376,21,1915,0.932467044301672,BB
USS_Arkansas_(BB-33),Wyoming-class_battleship,United States,26416,28000,20,1911,1.0599636583888552,BB
Japanese_battleship_Asahi,Japanese_battleship_Asahi,Empire of Japan,15443.2,13500,18,1899,0.8741711562370493,BB
HMS_Audacious_(1912),King George V-class_battleship,United Kingdom,25826.72,27000,21,1912,1.0454289201261329,BB
SMS_Zähringen,Wittelsbach-class_battleship,German Empire,11774,14000,18,1901,1.1890606420927468,BB
SMS_Zrínyi,Radetzky-class_battleship,Austria-Hungary,14732,20000,20,1910,1.357588922074396,BB
SMS_Babenberg,Habsburg-class_battleship,Austria-Hungary,8964.168,14400,19,1902,1.6063955963342054,BB
SMS_Baden_(1915),Bayern-class_battleship,German Empire,28530,35000,21,1915,1.2267788293024886,BB
HMS_Barfleur_(1892),Centurion-class_battleship,United Kingdom,10804.144,8100,17,1892,0.7497123326012686,BB
HMS_Barham_(04),Queen Elizabeth-class_battleship,United Kingdom,33111.44,56000,24,1914,1.6912583687088207,BB
SMS_Bayern_(1915),Bayern-class_battleship,German Empire,28530,35000,22,1915,1.2267788293024886,BB
HMS_Bellerophon_(1907),Bellerophon-class_battleship,United Kingdom,18893.536,23000,21,1907,1.2173475626796382,BB
HMS_Benbow_(1913),Iron Duke-class_battleship,United Kingdom,25400,29000,21,1913,1.141732283464567,BB
Italian_battleship_Benedetto_Brin,Regina Margherita-class_battleship,Kingdom of Italy,13426.44,18427.5,20,1901,1.3724784827549223,BB
German_battleship_Bismarck,Bismarck-class_battleship,Nazi Germany,46840.85952043024,150170,30,1939,3.205961665466481,BB
Russian_battleship_Borodino,Borodino-class_battleship,Russian Empire,14316.456,14670,18,1901,1.024694938468012,BB
French_battleship_Bouvet,French_battleship_Bouvet,France,12200,14000,18,1896,1.1475409836065573,BB
SMS_Brandenburg,Brandenburg-class_battleship,German Empire,10013,10000,16,1891,0.9987016878058524,BB
SMS_Braunschweig,Braunschweig-class_battleship,German Empire,13208,14400,18,1902,1.0902483343428224,BB
French_battleship_Brennus,French_battleship_Brennus,France,10676.641925391448,12500,17,1891,1.1707801092656482,BB
French_battleship_Bretagne,Bretagne-class_battleship,France,23936,28000,20,1913,1.1697860962566844,BB
